dispatching_base_number,date,active_vehicles,trips
B02617,2/5/2015,1524,14499
B02682,2/5/2015,1418,13782
B02598,2/5/2015,1179,11609
B02512,2/5/2015,264,2022
B02765,2/5/2015,355,3011
B02764,2/5/2015,4093,35990
B02617,2/6/2015,1526,15417
B02765,2/6/2015,385,3569
B02598,2/6/2015,1181,11897
B02512,2/6/2015,261,1989
B02764,2/6/2015,4170,38693
B02682,2/6/2015,1414,14375
B02598,2/7/2015,1031,10512
B02512,2/7/2015,211,1504
B02617,2/7/2015,1383,13688
B02682,2/7/2015,1300,13450
B02764,2/7/2015,3849,38530
B02765,2/7/2015,345,3473
B02764,2/8/2015,3422,29692
B02765,2/8/2015,313,2623
B02598,2/8/2015,923,8129
B02617,2/8/2015,1256,11004
B02682,2/8/2015,1136,10356
B02512,2/8/2015,176,1196
B02617,2/9/2015,1312,10887
B02682,2/9/2015,1241,10209
B02598,2/9/2015,976,8135
B02764,2/9/2015,3543,28266
B02512,2/9/2015,228,1565
B02765,2/9/2015,388,2894
B02764,2/10/2015,3700,29124
B02512,2/10/2015,233,1555
B02617,2/10/2015,1364,11401
B02765,2/10/2015,422,3432
B02682,2/10/2015,1281,10536
B02598,2/10/2015,1029,8718
B02617,2/11/2015,1450,12749
B02764,2/11/2015,3849,31889
B02512,2/11/2015,255,1831
B02598,2/11/2015,1115,10034
B02765,2/11/2015,450,3778
B02682,2/11/2015,1396,12189
B02617,2/12/2015,1532,14263
B02512,2/12/2015,269,2092
B02682,2/12/2015,1468,13786
B02765,2/12/2015,536,4609
B02598,2/12/2015,1181,11640
B02764,2/12/2015,4137,36844
B02617,2/13/2015,1590,16996
B02682,2/13/2015,1523,16088
B02764,2/13/2015,4395,43561
B02765,2/13/2015,599,5909
B02512,2/13/2015,281,2408
B02598,2/13/2015,1216,13062
B02764,2/14/2015,4129,45858
B02512,2/14/2015,236,2055
B02598,2/14/2015,1111,12678
B02765,2/14/2015,583,6307
B02617,2/14/2015,1486,16999
B02682,2/14/2015,1428,16448
B02682,2/15/2015,1261,14517
B02764,2/15/2015,3651,41209
B02617,2/15/2015,1293,14662
B02765,2/15/2015,521,5500
B02512,2/15/2015,210,1996
B02598,2/15/2015,1003,11517
B02598,2/16/2015,934,9052
B02512,2/16/2015,207,1576
B02617,2/16/2015,1214,11824
B02764,2/16/2015,3524,33448
B02682,2/16/2015,1164,11323
B02765,2/16/2015,508,4875
B02764,2/17/2015,3826,32473
B02512,2/17/2015,241,1797
B02682,2/17/2015,1314,11887
B02617,2/17/2015,1378,12524
B02598,2/17/2015,1066,9463
B02765,2/17/2015,578,4907
B02598,2/18/2015,1078,9538
B02682,2/18/2015,1314,11724
B02617,2/18/2015,1394,12016
B02765,2/18/2015,586,5059
B02764,2/18/2015,3842,32317
B02512,2/18/2015,228,1589
B02598,2/19/2015,1127,11739
B02512,2/19/2015,250,2120
B02682,2/19/2015,1428,14591
B02764,2/19/2015,4110,39110
B02765,2/19/2015,663,6447
B02617,2/19/2015,1452,14750
B02764,2/20/2015,4384,44755
B02617,2/20/2015,1574,16856
B02598,2/20/2015,1186,12758
B02682,2/20/2015,1497,16342
B02765,2/20/2015,736,7824
B02512,2/20/2015,272,2380
B02598,2/21/2015,1044,12132
B02682,2/21/2015,1374,16149
B02765,2/21/2015,685,7658
B02617,2/21/2015,1443,16098
B02512,2/21/2015,238,2149
B02764,2/21/2015,3981,44194
B02512,2/22/2015,199,1312
B02617,2/22/2015,1248,10696
B02682,2/22/2015,1220,10970
B02764,2/22/2015,3478,30157
